qid,question,model_raw
51,What do you recommend to treat a severed posterior longitudinal ligament?,FALSE
52,"What is mecoblamin? What is this medicine usus for?  My mother is diabetic patient, does this medicine useful? Thank you in advance",TRUE
53,What is the cleanest/safest SSRI for general stress-induced anxiety?,FALSE
54,What is the definition or description of: activity modification?,TRUE
55,Whats a type 1 shellfish allergy?,TRUE
56,What should I do if I have an allergy of sneezing when i wake upplease tell me what type of disease or allergy it is?,FALSE
57,What specific exercises would help bursitis of the suprapatellar?,TRUE
58,"What to do if I have hypertension, depression of lost love, completely broke. what to do?",TRUE
59,Which hormones are responsible for giving you a male features on your face?,TRUE
60,Which treatment works the best and fastest for aortic regurgitation?,FALSE
61,Why does my arm always fall asleep? Like to the point where i can't move it at all,FALSE
62,Why do I have white pigmentation skin colour around my anus and extreme itching and blisters around the anus and anal cleft?,FALSE
63,Will taking birth control pills for treatment of dysmenorrhea affect my fertility later once married?,FALSE
64,"35 years old female no heart problems, sharp pain in chest/heart. Only last a min. Hits anytime driving sitting takes my breath away, happening more?",TRUE
65,A doctor prescribed voren supp 12.5mg for my 3-year-old boy for fever. Isnt voren used for post-op inflammatn?,TRUE
66,After I had intercourse with hubby I noticed slight fresh blood and burning sensation and urge to urinate. What might be the cause?,FALSE
67,"After two weeks of oral surgery, my cheek is still swollen and I feel hard lumps on the lower part. It also itches outside. Help?",TRUE
68,"Always use birth control, always use condoms with spermicide, always pull out with condom, but my period is late. Stress from college or pregnancy?",TRUE
69,Any reliable blood test for ovarian cancer?,TRUE
70,Been having chest pains a lot lately especially when i sit in certain positions ?,TRUE
71,Been having this tenderness and pain in my breast for almost weeks....Not pregnant too. What coukd it be?,FALSE
72,Borderline changes to Brain MRI in 1 yr being referred to a neuroradiologist does this mean something sinister?,TRUE
73,Both arms numb no chest pain just a lil dizzy. And a little heart burn I have gastritis and back arthritis.,TRUE
74,"Brain epidermoid, is it the same as a  meningioma tumor the difference between the two       3cm brain stem / 8cm front lobe?",FALSE
