qid,question,reference_text,model_raw
48,Was treated for PID caused by BV only with one dose of azythromyacin and injection of antibiotics. PID never went away. What should i do?,0,FALSE
49,What are the causes of perianal abscess?,1,TRUE
50,What does a doctor do in externsl cronic anal fissure and pls tell me the process of sugery of cronic anal fissure outside my anal there is one small?,0,FALSE
51,What do you recommend to treat a severed posterior longitudinal ligament?,0,FALSE
52,"What is mecoblamin? What is this medicine usus for?  My mother is diabetic patient, does this medicine useful? Thank you in advance",0,TRUE
53,What is the cleanest/safest SSRI for general stress-induced anxiety?,1,FALSE
54,What is the definition or description of: activity modification?,0,TRUE
55,Whats a type 1 shellfish allergy?,1,TRUE
56,What should I do if I have an allergy of sneezing when i wake upplease tell me what type of disease or allergy it is?,0,FALSE
57,What specific exercises would help bursitis of the suprapatellar?,0,TRUE
58,"What to do if I have hypertension, depression of lost love, completely broke. what to do?",1,TRUE
59,Which hormones are responsible for giving you a male features on your face?,1,TRUE
60,Which treatment works the best and fastest for aortic regurgitation?,0,FALSE
61,Why does my arm always fall asleep? Like to the point where i can't move it at all,0,FALSE
62,Why do I have white pigmentation skin colour around my anus and extreme itching and blisters around the anus and anal cleft?,1,FALSE
63,Will taking birth control pills for treatment of dysmenorrhea affect my fertility later once married?,1,FALSE
64,"35 years old female no heart problems, sharp pain in chest/heart. Only last a min. Hits anytime driving sitting takes my breath away, happening more?",0,TRUE
65,A doctor prescribed voren supp 12.5mg for my 3-year-old boy for fever. Isnt voren used for post-op inflammatn?,1,TRUE
66,After I had intercourse with hubby I noticed slight fresh blood and burning sensation and urge to urinate. What might be the cause?,0,FALSE
67,"After two weeks of oral surgery, my cheek is still swollen and I feel hard lumps on the lower part. It also itches outside. Help?",1,TRUE
68,"Always use birth control, always use condoms with spermicide, always pull out with condom, but my period is late. Stress from college or pregnancy?",1,TRUE
69,Any reliable blood test for ovarian cancer?,1,TRUE
70,Been having chest pains a lot lately especially when i sit in certain positions ?,0,TRUE
71,Been having this tenderness and pain in my breast for almost weeks....Not pregnant too. What coukd it be?,1,FALSE
72,Borderline changes to Brain MRI in 1 yr being referred to a neuroradiologist does this mean something sinister?,1,TRUE
73,Both arms numb no chest pain just a lil dizzy. And a little heart burn I have gastritis and back arthritis.,1,TRUE
74,"Brain epidermoid, is it the same as a  meningioma tumor the difference between the two       3cm brain stem / 8cm front lobe?",1,FALSE
